Hour,Microgrid,Price_USD_per_MWh,Start_SOC_pct,End_SOC_pct,Commanded_Battery_kW,Battery_Scale,Incremental_Objective_USD,Dispatch_Control,Measured_Battery_kW,Dispatch_Error_kW
0,MG1,31.0,50,50,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
1,MG1,28.0,50,50,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
2,MG1,26.0,50,50,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
3,MG1,24.0,50,73,-96.8421052631579,-0.9684210526315791,2.5178947368421056,Energy_optimized,-96.84184568113258,0.0002595820253219472
4,MG1,25.0,73,90,-71.57894736842105,-0.7157894736842105,1.9326315789473687,Energy_optimized,-71.57851904194207,0.0004283264789819441
5,MG1,30.0,90,90,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
6,MG1,39.0,90,90,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
7,MG1,52.0,90,72,68.39999999999999,0.6839999999999999,-3.4199999999999995,Energy_optimized,68.39967935416081,-0.00032064583918156586
8,MG1,64.0,72,46,98.8,0.988,-6.1256,Energy_optimized,98.79958439446511,-0.0004156055348829568
9,MG1,58.0,46,20,98.8,0.988,-5.5328,Energy_optimized,98.79814643364877,-0.0018535663512295741
10,MG1,46.0,20,20,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
11,MG1,38.0,20,21,-4.2105263157894735,-0.042105263157894736,0.16842105263157892,Energy_optimized,-4.210526320000958,-4.211484494476281e-09
12,MG1,34.0,21,44,-96.8421052631579,-0.9684210526315791,3.4863157894736845,Energy_optimized,-96.84187276626992,0.0002324968879889866
13,MG1,32.0,44,67,-96.8421052631579,-0.9684210526315791,3.292631578947369,Energy_optimized,-96.84289440676667,-0.0007891436087703596
14,MG1,36.0,67,90,-96.8421052631579,-0.9684210526315791,3.68,Energy_optimized,-96.8427097334573,-0.000604470299393256
15,MG1,48.0,90,90,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
16,MG1,67.0,90,90,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
17,MG1,92.0,90,72,68.39999999999999,0.6839999999999999,-6.155999999999999,Energy_optimized,68.39975955427484,-0.00024044572515435902
18,MG1,116.0,72,46,98.8,0.988,-11.263200000000001,Energy_optimized,98.80000000001502,1.5020873433968518e-11
19,MG1,104.0,46,20,98.8,0.988,-10.0776,Energy_optimized,98.80004595365624,4.595365624027181e-05
20,MG1,78.0,20,20,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
21,MG1,59.0,20,20,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
22,MG1,44.0,20,27,-29.47368421052632,-0.2947368421052632,1.3557894736842107,Energy_optimized,-29.473970846387555,-0.0002866358612365616
23,MG1,35.0,27,50,-96.8421052631579,-0.9684210526315791,3.5831578947368428,Energy_optimized,-96.84258054293528,-0.00047527977737615856
0,MG2,29.0,50,50,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
1,MG2,27.0,50,50,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
2,MG2,25.0,50,50,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
3,MG2,23.0,50,73,-48.42105263157895,-0.9684210526315791,1.2105263157894737,Energy_optimized,-48.65668192687022,-0.2356292952912682
4,MG2,24.0,73,90,-35.78947368421053,-0.7157894736842105,0.9305263157894738,Energy_optimized,-35.88689891402694,-0.09742522981641599
5,MG2,29.0,90,90,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
6,MG2,41.0,90,90,0.0,0.0,0.0,Energy_optimized,-0.0,-0.0
