Hour,Microgrid,Bus,Node,Voltage_pu,Angle_deg
0,FEEDER,sourcebus,1,0.9993861332374162,-0.0819183171098425
0,FEEDER,sourcebus,2,0.9995919871113822,-120.08587671868446
0,FEEDER,sourcebus,3,0.9994292748305521,119.9058820389368
0,FEEDER,150,1,0.9866243188071169,-32.63417704991206
0,FEEDER,150,2,0.9911026161688625,-152.13932726264377
0,FEEDER,150,3,0.988958438217455,87.4353095290499
0,FEEDER,150r,1,1.017455485189742,-32.63450431380772
0,FEEDER,150r,2,1.022074110758618,-152.13958942205485
0,FEEDER,150r,3,1.0198627906417803,87.43499381044774
0,MG3,40,1,0.9948577411356463,-34.383422618296336
0,MG3,40,2,1.0111633904111177,-153.30790057251633
0,MG3,40,3,0.9994704324878096,85.89915611225908
0,MG3,401,1,0.9948577411356463,-34.383422618296336
0,MG3,401,2,1.0111633904111177,-153.30790057251633
0,MG3,401,3,0.9994704324878096,85.89915611225908
0,MG4,101,1,1.0927067990990076,-35.48764218665329
0,MG4,101,2,1.005241995505346,-154.17912919053236
0,MG4,101,3,1.0984011176945927,84.77745754651149
0,MG4,1011,1,1.0927067990990076,-35.48764218665329
0,MG4,1011,2,1.005241995505346,-154.17912919053236
0,MG4,1011,3,1.0984011176945927,84.77745754651149
0,MG1,30,1,0.9974607851174039,-34.28605623894851
0,MG1,30,2,1.0138078458702993,-153.14937627546408
0,MG1,30,3,0.9999961247990531,86.01836510428656
0,MG1,301,1,0.9974607851174039,-34.28605623894851
0,MG1,301,2,1.0138078458702993,-153.14937627546408
0,MG1,301,3,0.9999961247990531,86.01836510428656
0,MG2,93,1,1.0942357597472223,-35.44622434631479
0,MG2,93,2,1.0061211721586802,-154.36088574858834
0,MG2,93,3,1.103379894081967,84.76918123118418
0,MG2,931,1,1.0942357597472223,-35.44622434631479
0,MG2,931,2,1.0061211721586802,-154.36088574858834
0,MG2,931,3,1.1033798940819668,84.76918123118418
0,MG2,77,1,1.0964746062005255,-35.463725350712124
0,MG2,77,2,1.0088369713718672,-154.2145803776966
0,MG2,77,3,1.1023225395933425,84.76519749408578
0,MG2,771,1,1.0964746062005255,-35.463725350712124
