Hour,Microgrid,DER,Type,P_kW,Q_kvar,Rating_kVA
0,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
0,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
0,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
0,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
0,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
0,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
0,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
0,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
0,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
0,MG3,stor42,Battery,-0.0,-0.0,1200.0
0,MG3,gen401,Diesel,-0.0,-0.0,1200.0
0,MG4,stor105,Battery,-0.0,-0.0,1200.0
0,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
1,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
1,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
1,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
1,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
1,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
1,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
1,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
1,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
1,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
1,MG3,stor42,Battery,-0.0,-0.0,1200.0
1,MG3,gen401,Diesel,-0.0,-0.0,1200.0
1,MG4,stor105,Battery,-0.0,-0.0,1200.0
1,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
2,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
2,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
2,MG1,mg1_gen3,Battery,-0.0,-0.0,100.0
2,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
2,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
2,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
2,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
2,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
2,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
2,MG3,stor42,Battery,-0.0,-0.0,1200.0
2,MG3,gen401,Diesel,-0.0,-0.0,1200.0
2,MG4,stor105,Battery,-0.0,-0.0,1200.0
2,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
3,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
3,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
3,MG1,mg1_gen3,Battery,-96.84184568113258,0.00034310194097088244,100.0
3,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
3,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
3,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
3,MG2,mg2_gen3,Battery,-48.65668192687022,0.00019860250886745233,50.0
3,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
3,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
3,MG3,stor42,Battery,-0.0,-0.0,1200.0
3,MG3,gen401,Diesel,-0.0,-0.0,1200.0
3,MG4,stor105,Battery,-0.0,-0.0,1200.0
3,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
4,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
4,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
4,MG1,mg1_gen3,Battery,-71.57851904194207,0.0005395771017620063,100.0
4,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
4,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
4,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
4,MG2,mg2_gen3,Battery,-35.88689891402694,0.000316725530245094,50.0
4,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
4,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
4,MG3,stor42,Battery,-0.0,-0.0,1200.0
4,MG3,gen401,Diesel,-0.0,-0.0,1200.0
4,MG4,stor105,Battery,-0.0,-0.0,1200.0
4,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
5,MG1,mg1_gen1,Solar,12.499778701578013,-0.00025347937879848816,125.0
