Hour,Microgrid,Operating_Mode,PCC_Switch,PCC_Closed,Converged,Load_Scale,Solar_Scale,Battery_Scale,Load_P_kW,Load_Q_kvar,Solar_P_kW,Battery_P_kW,Diesel_P_kW,Diesel_Q_kvar,Forming_Diesel_Loading_pct,Min_Voltage_pu,Max_Voltage_pu
0,MG1,Grid_connected,Line.sw8,True,True,0.55,0.0,0.0,120.77026872869948,60.386187222576346,0.0,0.0,0.0,0.0,0.0,0.9860485945046754,1.0138462740603822
0,MG2,Grid_connected,Line.sw9,True,True,0.55,0.0,0.0,453.8195969117792,183.08440330722405,0.0,0.0,0.0,0.0,0.0,0.9945578952185247,1.2587256407125846
0,MG3,Grid_connected,Line.sw3,True,True,0.7,0.0,0.0,700.0007592873187,210.00266866593947,0.0,0.0,0.0,0.0,0.0,0.9927703251525494,1.0134804588791546
0,MG4,Grid_connected,Line.sw5,True,True,0.65,0.0,0.0,686.7859422112479,206.03701831261193,0.0,0.0,0.0,0.0,0.0,1.002731522063385,1.0991320376786209
1,MG1,Grid_connected,Line.sw8,True,True,0.5,0.0,0.0,110.08897084993669,55.046360548833796,0.0,0.0,0.0,0.0,0.0,0.9902913308673656,1.0159270819728063
1,MG2,Grid_connected,Line.sw9,True,True,0.5,0.0,0.0,415.57940618802394,167.6407068927785,0.0,0.0,0.0,0.0,0.0,0.9993120036086135,1.264783908912848
1,MG3,Grid_connected,Line.sw3,True,True,0.68,0.0,0.0,680.005794279709,204.01378464017506,0.0,0.0,0.0,0.0,0.0,0.9961329377588142,1.0155937764026548
1,MG4,Grid_connected,Line.sw5,True,True,0.63,0.0,0.0,669.4855262498902,200.85837722554015,0.0,0.0,0.0,0.0,0.0,1.006222616428468,1.1034183011978296
2,MG1,Grid_connected,Line.sw8,True,True,0.48,0.0,0.0,105.82326010526302,52.91248918238871,0.0,0.0,0.0,0.0,0.0,0.9924397762834937,1.0168859883672168
2,MG2,Grid_connected,Line.sw9,True,True,0.48,0.0,0.0,400.3735648528035,161.49005300606902,0.0,0.0,0.0,0.0,0.0,1.001397671299852,1.2677354568976227
2,MG3,Grid_connected,Line.sw3,True,True,0.67,0.0,0.0,670.0025627508802,201.00624722255577,0.0,0.0,0.0,0.0,0.0,0.9979458703296508,1.0165656502420792
2,MG4,Grid_connected,Line.sw5,True,True,0.62,0.0,0.0,660.8079265531219,198.24806222023733,0.0,0.0,0.0,0.0,0.0,1.0078217162870724,1.1055514752391127
3,MG1,Grid_connected,Line.sw8,True,True,0.47,0.0,-0.9684210526315791,103.55868912331593,51.77898177930135,0.0,-96.84184568113258,0.0,0.0,0.0,0.9915659859045758,1.015704116098229
3,MG2,Grid_connected,Line.sw9,True,True,0.47,0.0,-0.9684210526315791,391.7264212198262,158.00902369272654,0.0,-48.65668192687022,0.0,0.0,0.0,1.0006472873912622,1.2669212899924371
3,MG3,Grid_connected,Line.sw3,True,True,0.67,0.0,0.0,669.9987818518516,200.99683375157093,0.0,0.0,0.0,0.0,0.0,0.9970500212975317,1.0155845084866262
3,MG4,Grid_connected,Line.sw5,True,True,0.62,0.0,0.0,660.1777079526105,198.0503484250164,0.0,0.0,0.0,0.0,0.0,1.006850451456955,1.1048675976913642
4,MG1,Grid_connected,Line.sw8,True,True,0.5,0.0,-0.7157894736842105,110.0312919601413,55.01475133727445,0.0,-71.57851904194207,0.0,0.0,0.0,0.9897564709226895,1.0148204291920855
4,MG2,Grid_connected,Line.sw9,True,True,0.5,0.0,-0.7157894736842105,415.24572103446064,167.5053593974349,0.0,-35.88689891402694,0.0,0.0,0.0,0.998124380456996,1.263955082181819
4,MG3,Grid_connected,Line.sw3,True,True,0.68,0.0,0.0,679.997191526684,203.99312210520105,0.0,0.0,0.0,0.0,0.0,0.9957376870011435,1.0146342691507377
4,MG4,Grid_connected,Line.sw5,True,True,0.64,0.0,0.0,679.6459755001534,203.88717304873438,0.0,0.0,0.0,0.0,0.0,1.0050132943760137,1.102774764627462
5,MG1,Grid_connected,Line.sw8,True,True,0.6,0.1,0.0,131.55804548761137,65.77583127265405,24.999556455077204,0.0,0.0,0.0,0.0,0.9843161980247794,1.0127288925978963
5,MG2,Grid_connected,Line.sw9,True,True,0.6,0.1,0.0,493.394326550648,199.04600995459538,75.00491982689145,0.0,0.0,0.0,0.0,0.9915700587805394,1.2558799873501585
5,MG3,Grid_connected,Line.sw3,True,True,0.72,0.0,0.0,719.9906288958931,215.97958788688908,0.0,0.0,0.0,0.0,0.0,0.9919251092307942,1.012321459284299
5,MG4,Grid_connected,Line.sw5,True,True,0.68,0.0,0.0,717.089206767478,215.10785914912157,0.0,0.0,0.0,0.0,0.0,1.0007945926090516,1.0972868436542336
6,MG1,Grid_connected,Line.sw8,True,True,0.72,0.25,0.0,156.92710226140957,78.46296845509426,62.499749209281454,0.0,0.0,0.0,0.0,0.9750730606256319,1.0083268389027462
6,MG2,Grid_connected,Line.sw9,True,True,0.72,0.25,0.0,582.9845866957495,235.28162534021067,187.49898405708592,0.0,0.0,0.0,0.0,0.981455615402596,1.2430830070460412
6,MG3,Grid_connected,Line.sw3,True,True,0.78,0.0,0.0,779.9976399160555,233.9954495234694,0.0,0.0,0.0,0.0,0.0,0.9846965914329364,1.0078280462836726
6,MG4,Grid_connected,Line.sw5,True,True,0.75,0.0,0.0,781.4488305673071,234.43004368879176,0.0,0.0,0.0,0.0,0.0,0.9933912725582402,1.0883150400281576
7,MG1,Grid_connected,Line.sw8,True,True,0.85,0.45,0.6839999999999999,184.28223478753148,92.14037081449354,112.49947338619627,68.39967935416081,0.0,0.0,0.0,0.9671043992598682,1.0049213036620845
7,MG2,Grid_connected,Line.sw9,True,True,0.85,0.45,0.6839999999999999,679.3438633252554,274.10364917656364,337.497829521943,34.19978109013196,0.0,0.0,0.0,0.9722021912556198,1.2319278998895333
7,MG3,Grid_connected,Line.sw3,True,True,0.85,0.0,0.0,849.996873696954,254.99464684587554,0.0,0.0,0.0,0.0,0.0,0.9787414203850634,1.0041797055566801
7,MG4,Grid_connected,Line.sw5,True,True,0.82,0.0,0.0,845.8820732898721,253.75923231575007,0.0,0.0,0.0,0.0,0.0,0.9870765895211537,1.0807979143555448
8,MG1,Grid_connected,Line.sw8,True,True,0.95,0.65,0.988,205.1485695026909,102.57357394889522,162.49931684614384,98.79958439446511,0.0,0.0,0.0,0.9612449997345287,1.0023010028228907
8,MG2,Grid_connected,Line.sw9,True,True,0.95,0.65,0.988,752.3411127572205,303.4496570326507,487.49714846291675,49.399712407958646,0.0,0.0,0.0,0.9652348350752805,1.2238564505135516
8,MG3,Grid_connected,Line.sw3,True,True,0.9,0.0,0.0,899.9969510951612,269.9951776663736,0.0,0.0,0.0,0.0,0.0,0.9744956804987865,1.0014140675644654
8,MG4,Grid_connected,Line.sw5,True,True,0.88,0.0,0.0,901.3530659740968,270.40101836342876,0.0,0.0,0.0,0.0,0.0,0.9823091867787657,1.0754801316348634
9,MG1,Grid_connected,Line.sw8,True,True,1.0,0.8,0.988,215.49134684153375,107.74137179666295,199.99626602720764,98.79814643364877,0.0,0.0,0.0,0.9581745533954141,1.0007430130705588
