Hour,Microgrid,Load,Bus,P_kW,Q_kvar
0,FEEDER,s1a,x1,15.68001011133274,7.840130437218318
0,FEEDER,s2b,x2,7.839981005704297,3.9199182226139775
0,FEEDER,s4c,x4,15.680057388433639,7.840160488082744
0,FEEDER,s5c,x5,7.893011165817969,3.9465679588812645
0,FEEDER,s6c,x6,15.882784623965247,7.941511773413422
0,FEEDER,s7a,x7,7.84000051206036,3.9200781191456064
0,FEEDER,s9a,x9,15.679995568168529,7.8401741270407905
0,FEEDER,s10a,x10,7.812888938499431,3.906528275295994
0,FEEDER,s11a,x11,15.568569792274284,7.784445595883256
0,FEEDER,s12b,x12,7.839969627594661,3.9198888913974788
0,FEEDER,s16c,x16,15.680127559487353,7.840229413872191
0,FEEDER,s17c,x17,7.840063312366516,3.9201142220619882
0,FEEDER,s19a,x19,15.67997122243567,7.840230023396988
0,FEEDER,s20a,x20,15.51498821001289,7.7577266088016295
0,MG1,s22b,x22,22.100834496053402,11.050074768197248
0,MG1,s24c,x24,22.00025639137015,11.000422313490475
0,MG1,s28a,x28,21.708999300100697,10.854831576005028
0,MG1,s29b,x29,0.0,0.0
0,MG1,s30c,x30,22.00025610254349,11.000426055440393
0,MG1,s31c,x31,5.500054708011469,2.750093790578744
0,MG1,s32c,x32,5.500054887113329,2.75009397184943
0,MG1,s33a,x33,21.95981284350693,10.98024474701503
0,FEEDER,s34c,x34,15.657637316737958,7.828961076224503
0,FEEDER,s52a,x52,15.679976490923565,7.840212955275506
0,FEEDER,s53a,x53,15.679972164282313,7.840219985697752
0,FEEDER,s55a,x55,7.690255441100721,3.8452370090034376
0,FEEDER,s56b,x56,7.839954924480403,3.9198505780305832
0,FEEDER,s58b,x58,7.907499032551904,3.9536136094305885
0,FEEDER,s59b,x59,7.839945788449985,3.919832778720126
0,FEEDER,s60a,x60,7.839974430730264,3.920127008864009
0,FEEDER,s62c,x62,15.4556113983196,7.727941738337694
0,FEEDER,s63a,x63,15.67994934245657,7.840256704381192
0,FEEDER,s64b,x64,29.40601466407865,13.722228392975904
0,FEEDER,s65a,x65,9.450491466130854,0.8534686648630436
0,FEEDER,s65b,x65,9.547560721456279,0.9226986695868816
0,FEEDER,s65c,x65,19.322289209840218,2.0079716271971995
0,FEEDER,s66c,x66,29.400418469962542,13.720508988377862
0,FEEDER,s68a,x68,8.398759731552396,4.1995271886326755
0,FEEDER,s69a,x69,16.775666666443737,8.388127919772746
0,FEEDER,s70a,x70,8.38009204204916,4.190193293360984
0,FEEDER,s71a,x71,16.75145417434013,8.376021608212657
0,MG2,s73c,x73,23.642488184780124,11.821455837202706
0,MG2,s74c,x74,25.96263369649267,12.981543847716518
0,MG2,s75c,x75,23.571809031545158,11.786116092417393
0,MG2,s76a,x76,45.812227929754954,2.9414973959349737
0,MG2,s76b,x76,28.230883726048795,1.857918660154015
0,MG2,s76c,x76,29.522147335094495,3.157674335151842
0,MG2,s77b,x77,21.999786049302372,10.99939416916662
0,MG2,s79a,x79,25.917190468334105,12.959052197829516
0,MG2,s80b,x80,21.999783319634073,10.999388990994952
0,MG2,s82a,x82,23.737516611234796,11.869189341288799
0,MG2,s83a,x83,0.0,0.0
0,MG2,s84c,x84,11.920860808826447,5.960535277218499
0,MG2,s85c,x85,23.811862709785007,11.906141137526733
0,MG2,s86b,x86,10.999890896322503,5.499692828127855
0,MG2,s87b,x87,21.99977778545229,10.99937793740166
0,MG2,s88a,x88,23.485338535983168,11.743096054429312
0,MG2,s90b,x90,21.91781444643619,10.958417159468393
0,MG2,s92c,x92,23.854278425656336,11.927347341333618
0,MG2,s94a,x94,23.43353348968658,11.71719528757751
0,MG2,s95b,x95,10.999886950451808,5.499684933603365
0,MG2,s96b,x96,10.999886510957307,5.499684482679784
0,FEEDER,s98a,x98,16.78584195611692,8.393219486087778
0,FEEDER,s99b,x99,15.679858075860624,7.839578741128848
0,FEEDER,s100c,x100,18.657302607883793,9.328813307656851
0,MG3,add44,44,700.0007592873187,210.00266866593947
0,MG4,add108,108,686.7859422112479,206.03701831261193
1,FEEDER,s1a,x1,14.784052513366955,7.392150995839254
1,FEEDER,s2b,x2,7.39204963036782,3.6962176845950263
1,FEEDER,s4c,x4,14.78401285193613,7.3921579776642306
1,FEEDER,s5c,x5,7.461029819352446,3.730586620472303
1,FEEDER,s6c,x6,15.05196642330435,7.526120773872098
1,FEEDER,s7a,x7,7.392038715443776,3.6960776907144846
1,FEEDER,s9a,x9,14.784095462187427,7.392159664708355
1,FEEDER,s10a,x10,7.390579032716025,3.6953392886091696
1,FEEDER,s11a,x11,14.77466535838867,7.387422304943807
1,FEEDER,s12b,x12,7.392071436591268,3.6962675824919184
1,FEEDER,s16c,x16,14.7839820433534,7.3921969936701135
1,FEEDER,s17c,x17,7.391990536672095,3.6960979795412037
1,FEEDER,s19a,x19,14.78412880357101,7.392198262823503
1,FEEDER,s20a,x20,14.683280002565217,7.341757711189378
1,MG1,s22b,x22,20.217280129718702,10.10932747963755
1,MG1,s24c,x24,20.00004153885488,10.00036401442474
1,MG1,s28a,x28,19.820424738628965,9.910380947471982
1,MG1,s29b,x29,0.0,0.0
1,MG1,s30c,x30,20.000041718867372,10.00036824412562
1,MG1,s31c,x31,4.999999385676907,2.500076953972778
