Hour,Microgrid,Noncritical_Load_Retained_pct,Shed_Setpoint_kW,Shed_Setpoint_kvar
0,MG1,100.0,0.0,0.0
0,MG2,100.0,0.0,0.0
0,MG3,100.0,0.0,0.0
0,MG4,100.0,0.0,0.0
1,MG1,100.0,0.0,0.0
1,MG2,100.0,0.0,0.0
1,MG3,100.0,0.0,0.0
1,MG4,100.0,0.0,0.0
2,MG1,100.0,0.0,0.0
2,MG2,100.0,0.0,0.0
2,MG3,100.0,0.0,0.0
2,MG4,100.0,0.0,0.0
3,MG1,100.0,0.0,0.0
3,MG2,100.0,0.0,0.0
3,MG3,100.0,0.0,0.0
3,MG4,100.0,0.0,0.0
4,MG1,100.0,0.0,0.0
4,MG2,100.0,0.0,0.0
4,MG3,100.0,0.0,0.0
4,MG4,100.0,0.0,0.0
5,MG1,100.0,0.0,0.0
5,MG2,100.0,0.0,0.0
5,MG3,100.0,0.0,0.0
5,MG4,100.0,0.0,0.0
6,MG1,100.0,0.0,0.0
6,MG2,100.0,0.0,0.0
6,MG3,100.0,0.0,0.0
6,MG4,100.0,0.0,0.0
7,MG1,100.0,0.0,0.0
7,MG2,100.0,0.0,0.0
7,MG3,100.0,0.0,0.0
7,MG4,100.0,0.0,0.0
8,MG1,100.0,0.0,0.0
8,MG2,100.0,0.0,0.0
8,MG3,100.0,0.0,0.0
8,MG4,100.0,0.0,0.0
9,MG1,100.0,0.0,0.0
9,MG2,100.0,0.0,0.0
9,MG3,100.0,0.0,0.0
9,MG4,100.0,0.0,0.0
10,MG1,100.0,0.0,0.0
10,MG2,100.0,0.0,0.0
10,MG3,100.0,0.0,0.0
10,MG4,100.0,0.0,0.0
11,MG1,100.0,0.0,0.0
11,MG2,100.0,0.0,0.0
11,MG3,100.0,0.0,0.0
11,MG4,100.0,0.0,0.0
12,MG1,100.0,0.0,0.0
12,MG2,100.0,0.0,0.0
12,MG3,100.0,0.0,0.0
12,MG4,100.0,0.0,0.0
13,MG1,100.0,0.0,0.0
13,MG2,100.0,0.0,0.0
13,MG3,100.0,0.0,0.0
13,MG4,100.0,0.0,0.0
14,MG1,100.0,0.0,0.0
14,MG2,100.0,0.0,0.0
14,MG3,100.0,0.0,0.0
14,MG4,100.0,0.0,0.0
15,MG1,100.0,0.0,0.0
15,MG2,100.0,0.0,0.0
15,MG3,100.0,0.0,0.0
15,MG4,100.0,0.0,0.0
16,MG1,100.0,0.0,0.0
16,MG2,100.0,0.0,0.0
16,MG3,100.0,0.0,0.0
16,MG4,100.0,0.0,0.0
17,MG1,100.0,0.0,0.0
17,MG2,100.0,0.0,0.0
17,MG3,100.0,0.0,0.0
17,MG4,100.0,0.0,0.0
18,MG1,100.0,0.0,0.0
18,MG2,100.0,0.0,0.0
18,MG3,100.0,0.0,0.0
18,MG4,100.0,0.0,0.0
19,MG1,100.0,0.0,0.0
19,MG2,100.0,0.0,0.0
19,MG3,100.0,0.0,0.0
19,MG4,100.0,0.0,0.0
20,MG1,100.0,0.0,0.0
20,MG2,100.0,0.0,0.0
20,MG3,100.0,0.0,0.0
20,MG4,100.0,0.0,0.0
21,MG1,100.0,0.0,0.0
21,MG2,100.0,0.0,0.0
21,MG3,100.0,0.0,0.0
21,MG4,100.0,0.0,0.0
22,MG1,100.0,0.0,0.0
22,MG2,100.0,0.0,0.0
22,MG3,100.0,0.0,0.0
22,MG4,100.0,0.0,0.0
23,MG1,100.0,0.0,0.0
23,MG2,100.0,0.0,0.0
23,MG3,100.0,0.0,0.0
23,MG4,100.0,0.0,0.0
