Hour,Microgrid,Price_USD_per_MWh,Start_SOC_pct,End_SOC_pct,Battery_kW,Battery_Scale,Incremental_Objective_USD,Dispatch_Control
0,MG1,31.0,50,50,0.0,0.0,0.0,Energy_optimized
1,MG1,28.0,50,50,0.0,0.0,0.0,Energy_optimized
2,MG1,26.0,50,50,0.0,0.0,0.0,Energy_optimized
3,MG1,24.0,50,73,-96.8421052631579,-0.9684210526315791,2.5178947368421056,Energy_optimized
4,MG1,25.0,73,90,-71.57894736842105,-0.7157894736842105,1.9326315789473687,Energy_optimized
5,MG1,30.0,90,90,0.0,0.0,0.0,Energy_optimized
6,MG1,39.0,90,90,0.0,0.0,0.0,Energy_optimized
7,MG1,52.0,90,72,68.39999999999999,0.6839999999999999,-3.4199999999999995,Energy_optimized
8,MG1,64.0,72,46,98.8,0.988,-6.1256,Energy_optimized
9,MG1,58.0,46,20,98.8,0.988,-5.5328,Energy_optimized
10,MG1,46.0,20,20,0.0,0.0,0.0,Energy_optimized
11,MG1,38.0,20,21,-4.2105263157894735,-0.042105263157894736,0.16842105263157892,Energy_optimized
12,MG1,34.0,21,44,-96.8421052631579,-0.9684210526315791,3.4863157894736845,Energy_optimized
13,MG1,32.0,44,67,-96.8421052631579,-0.9684210526315791,3.292631578947369,Energy_optimized
14,MG1,36.0,67,90,-96.8421052631579,-0.9684210526315791,3.68,Energy_optimized
15,MG1,48.0,90,90,0.0,0.0,0.0,Energy_optimized
16,MG1,67.0,90,90,0.0,0.0,0.0,Energy_optimized
17,MG1,92.0,90,72,68.39999999999999,0.6839999999999999,-6.155999999999999,Energy_optimized
18,MG1,116.0,72,46,98.8,0.988,-11.263200000000001,Energy_optimized
19,MG1,104.0,46,20,98.8,0.988,-10.0776,Energy_optimized
20,MG1,78.0,20,20,0.0,0.0,0.0,Energy_optimized
21,MG1,59.0,20,20,0.0,0.0,0.0,Energy_optimized
22,MG1,44.0,20,27,-29.47368421052632,-0.2947368421052632,1.3557894736842107,Energy_optimized
23,MG1,35.0,27,50,-96.8421052631579,-0.9684210526315791,3.5831578947368428,Energy_optimized
0,MG2,29.0,50,50,0.0,0.0,0.0,Energy_optimized
1,MG2,27.0,50,50,0.0,0.0,0.0,Energy_optimized
2,MG2,25.0,50,50,0.0,0.0,0.0,Energy_optimized
3,MG2,23.0,50,73,-48.42105263157895,-0.9684210526315791,1.2105263157894737,Energy_optimized
4,MG2,24.0,73,90,-35.78947368421053,-0.7157894736842105,0.9305263157894738,Energy_optimized
5,MG2,29.0,90,90,0.0,0.0,0.0,Energy_optimized
6,MG2,41.0,90,90,0.0,0.0,0.0,Energy_optimized
7,MG2,55.0,90,72,34.199999999999996,0.6839999999999999,-1.8125999999999998,Energy_optimized
8,MG2,69.0,72,46,49.4,0.988,-3.3098,Energy_optimized
9,MG2,61.0,46,20,49.4,0.988,-2.9146,Energy_optimized
10,MG2,49.0,20,20,0.0,0.0,0.0,Energy_optimized
11,MG2,40.0,20,21,-2.1052631578947367,-0.042105263157894736,0.08842105263157894,Energy_optimized
12,MG2,35.0,21,44,-48.42105263157895,-0.9684210526315791,1.7915789473684214,Energy_optimized
13,MG2,33.0,44,67,-48.42105263157895,-0.9684210526315791,1.6947368421052633,Energy_optimized
14,MG2,38.0,67,90,-48.42105263157895,-0.9684210526315791,1.936842105263158,Energy_optimized
15,MG2,51.0,90,90,0.0,0.0,0.0,Energy_optimized
16,MG2,72.0,90,90,0.0,0.0,0.0,Energy_optimized
17,MG2,98.0,90,72,34.199999999999996,0.6839999999999999,-3.2832,Energy_optimized
18,MG2,122.0,72,46,49.4,0.988,-5.928,Energy_optimized
19,MG2,109.0,46,20,49.4,0.988,-5.2858,Energy_optimized
20,MG2,82.0,20,20,0.0,0.0,0.0,Energy_optimized
21,MG2,62.0,20,20,0.0,0.0,0.0,Energy_optimized
22,MG2,45.0,20,27,-14.73684210526316,-0.2947368421052632,0.6926315789473685,Energy_optimized
23,MG2,34.0,27,50,-48.42105263157895,-0.9684210526315791,1.7431578947368422,Energy_optimized
0,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
1,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
2,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
3,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
4,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
5,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
6,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
7,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
8,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
9,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
10,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
11,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
12,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
13,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
14,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
15,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
16,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
17,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
18,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
19,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
20,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
21,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
22,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
23,MG3,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
0,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
1,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
2,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
3,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
4,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
5,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
6,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
7,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
8,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
9,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
10,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
11,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
12,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
13,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
14,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
15,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
16,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
17,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
18,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
19,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
20,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
21,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
22,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
23,MG4,,100,100,0.0,0.0,0.0,Data_center_full_charge_reserve
