Hour,Microgrid,Operating_Mode,PCC_Switch,PCC_Closed,Converged
0,MG1,Grid_connected,Line.sw8,True,True
0,MG2,Grid_connected,Line.sw9,True,True
0,MG3,Grid_connected,Line.sw3,True,True
0,MG4,Grid_connected,Line.sw5,True,True
1,MG1,Grid_connected,Line.sw8,True,True
1,MG2,Grid_connected,Line.sw9,True,True
1,MG3,Grid_connected,Line.sw3,True,True
1,MG4,Grid_connected,Line.sw5,True,True
2,MG1,Grid_connected,Line.sw8,True,True
2,MG2,Grid_connected,Line.sw9,True,True
2,MG3,Grid_connected,Line.sw3,True,True
2,MG4,Grid_connected,Line.sw5,True,True
3,MG1,Grid_connected,Line.sw8,True,True
3,MG2,Grid_connected,Line.sw9,True,True
3,MG3,Grid_connected,Line.sw3,True,True
3,MG4,Grid_connected,Line.sw5,True,True
4,MG1,Grid_connected,Line.sw8,True,True
4,MG2,Grid_connected,Line.sw9,True,True
4,MG3,Grid_connected,Line.sw3,True,True
4,MG4,Grid_connected,Line.sw5,True,True
5,MG1,Grid_connected,Line.sw8,True,True
5,MG2,Grid_connected,Line.sw9,True,True
5,MG3,Grid_connected,Line.sw3,True,True
5,MG4,Grid_connected,Line.sw5,True,True
6,MG1,Grid_connected,Line.sw8,True,True
6,MG2,Grid_connected,Line.sw9,True,True
6,MG3,Grid_connected,Line.sw3,True,True
6,MG4,Grid_connected,Line.sw5,True,True
7,MG1,Grid_connected,Line.sw8,True,True
7,MG2,Grid_connected,Line.sw9,True,True
7,MG3,Grid_connected,Line.sw3,True,True
7,MG4,Grid_connected,Line.sw5,True,True
8,MG1,Grid_connected,Line.sw8,True,True
8,MG2,Grid_connected,Line.sw9,True,True
8,MG3,Grid_connected,Line.sw3,True,True
8,MG4,Grid_connected,Line.sw5,True,True
9,MG1,Grid_connected,Line.sw8,True,True
9,MG2,Grid_connected,Line.sw9,True,True
9,MG3,Grid_connected,Line.sw3,True,True
9,MG4,Grid_connected,Line.sw5,True,True
10,MG1,Grid_connected,Line.sw8,True,True
10,MG2,Grid_connected,Line.sw9,True,True
10,MG3,Grid_connected,Line.sw3,True,True
10,MG4,Grid_connected,Line.sw5,True,True
11,MG1,Islanded,Line.sw8,False,True
11,MG2,Islanded,Line.sw9,False,True
11,MG3,Islanded,Line.sw3,False,True
11,MG4,Islanded,Line.sw5,False,True
12,MG1,Grid_connected,Line.sw8,True,True
12,MG2,Grid_connected,Line.sw9,True,True
12,MG3,Grid_connected,Line.sw3,True,True
12,MG4,Grid_connected,Line.sw5,True,True
13,MG1,Grid_connected,Line.sw8,True,True
13,MG2,Grid_connected,Line.sw9,True,True
13,MG3,Grid_connected,Line.sw3,True,True
13,MG4,Grid_connected,Line.sw5,True,True
14,MG1,Grid_connected,Line.sw8,True,True
14,MG2,Grid_connected,Line.sw9,True,True
14,MG3,Grid_connected,Line.sw3,True,True
14,MG4,Grid_connected,Line.sw5,True,True
15,MG1,Grid_connected,Line.sw8,True,True
15,MG2,Grid_connected,Line.sw9,True,True
15,MG3,Grid_connected,Line.sw3,True,True
15,MG4,Grid_connected,Line.sw5,True,True
16,MG1,Grid_connected,Line.sw8,True,True
16,MG2,Grid_connected,Line.sw9,True,True
16,MG3,Grid_connected,Line.sw3,True,True
16,MG4,Grid_connected,Line.sw5,True,True
17,MG1,Grid_connected,Line.sw8,True,True
17,MG2,Grid_connected,Line.sw9,True,True
17,MG3,Grid_connected,Line.sw3,True,True
17,MG4,Grid_connected,Line.sw5,True,True
18,MG1,Islanded,Line.sw8,False,True
18,MG2,Islanded,Line.sw9,False,True
18,MG3,Islanded,Line.sw3,False,True
18,MG4,Islanded,Line.sw5,False,True
19,MG1,Grid_connected,Line.sw8,True,True
19,MG2,Grid_connected,Line.sw9,True,True
19,MG3,Grid_connected,Line.sw3,True,True
19,MG4,Grid_connected,Line.sw5,True,True
20,MG1,Grid_connected,Line.sw8,True,True
20,MG2,Grid_connected,Line.sw9,True,True
20,MG3,Grid_connected,Line.sw3,True,True
20,MG4,Grid_connected,Line.sw5,True,True
21,MG1,Grid_connected,Line.sw8,True,True
21,MG2,Grid_connected,Line.sw9,True,True
21,MG3,Grid_connected,Line.sw3,True,True
21,MG4,Grid_connected,Line.sw5,True,True
22,MG1,Grid_connected,Line.sw8,True,True
22,MG2,Grid_connected,Line.sw9,True,True
22,MG3,Grid_connected,Line.sw3,True,True
22,MG4,Grid_connected,Line.sw5,True,True
23,MG1,Grid_connected,Line.sw8,True,True
23,MG2,Grid_connected,Line.sw9,True,True
23,MG3,Grid_connected,Line.sw3,True,True
23,MG4,Grid_connected,Line.sw5,True,True
