Hour,Bus,Phase,Node,kVBase,Voltage_Real_V,Voltage_Imag_V,Voltage_V,Voltage_Angle_Deg,Voltage_pu
0,sourcebus,1,sourcebus.1,66.39528095680697,66361.13405884913,-72.9547421422875,66361.17416058088,-0.06298863326450446,0.9994863069222002
0,sourcebus,2,sourcebus.2,66.39528095680697,-33258.5275830665,-57452.07545009172,66384.26493165852,-120.06619237282675,0.9998340842151776
0,sourcebus,3,sourcebus.3,66.39528095680697,-33102.606469304046,57525.030203455266,66369.508473169,119.91814593695366,0.9996118325991462
0,150,1,150.1,2.4017771198288433,2001.2772195849677,-1267.6943101952902,2368.999656760476,-32.35191285770843,0.9863528289957633
0,150,2,150.2,2.4017771198288433,-2107.934689189045,-1140.1727700061667,2396.5355410154157,-151.5912358806103,0.9978176248036699
0,150,3,150.3,2.4017771198288433,80.43696487803955,2387.059866561165,2388.4147277777784,88.07002938064986,0.9944364562636782
0,150r,1,150r.1,2.4017771198288433,2063.808416576852,-1307.3190967938244,2443.0285305692346,-32.35220728070486,1.0171753700207333
0,150r,2,150r.2,2.4017771198288433,-2173.811976622538,-1175.7961736207224,2471.4277556927937,-151.59142626857363,1.0289996250230387
0,150r,3,150r.3,2.4017771198288433,82.96063610499255,2461.654804412647,2463.0523427712237,88.06979598279403,1.0255124517743541
0,40,1,40.1,2.4017771198288433,1948.8311962210832,-1348.316023045973,2369.788836450836,-34.67776360869354,0.9866814105630721
0,40,2,40.2,2.4017771198288433,-2204.476784299373,-1110.887439990546,2468.560065472107,-153.25539571076033,1.0278056382051066
0,40,3,40.3,2.4017771198288433,136.44628064900488,2425.5438032771526,2429.3785890879876,86.78028277608888,1.0114921026731702
0,401,1,401.1,2.4017771198288433,1948.8311962210832,-1348.316023045973,2369.788836450836,-34.67776360869354,0.9866814105630721
0,401,2,401.2,2.4017771198288433,-2204.476784299373,-1110.887439990546,2468.560065472107,-153.25539571076033,1.0278056382051066
0,401,3,401.3,2.4017771198288433,136.44628064900488,2425.5438032771526,2429.3785890879876,86.78028277608888,1.0114921026731702
0,101,1,101.1,2.4017771198288433,1919.5452339020267,-1363.966558119059,2354.7948268720015,-35.39636585384872,0.9804385292169867
0,101,2,101.2,2.4017771198288433,-2212.3748378807068,-1079.3677131731763,2461.6330115450546,-153.99329712704932,1.0249215013425046
0,101,3,101.3,2.4017771198288433,154.28037057018255,2426.285135503652,2431.185305876384,86.36162749311868,1.0122443443251872
0,1011,1,1011.1,2.4017771198288433,1919.5452339020267,-1363.966558119059,2354.7948268720015,-35.39636585384872,0.9804385292169867
0,1011,2,1011.2,2.4017771198288433,-2212.3748378807068,-1079.3677131731763,2461.6330115450546,-153.99329712704932,1.0249215013425046
0,1011,3,1011.3,2.4017771198288433,154.28037057018255,2426.285135503652,2431.185305876384,86.36162749311868,1.0122443443251872
0,30,1,30.1,2.4017771198288433,1965.1563778171571,-1344.4590922389098,2381.0522547771443,-34.37793005455474,0.9913710290265502
0,30,2,30.2,2.4017771198288433,-2207.1464281513686,-1132.1839785027262,2480.591848023291,-152.84386444844054,1.0328151715426717
0,30,3,30.3,2.4017771198288433,123.59641806727593,2428.6565620401607,2431.7994923306883,87.08668189044056,1.01250006599446
0,301,1,301.1,2.4017771198288433,1969.227814665949,-1342.3521530922173,2383.2262773319158,-34.280854842977234,0.9922762015077197
0,301,2,301.2,2.4017771198288433,-2207.2318428355425,-1136.5840294448662,2482.679130297815,-152.75441256525872,1.0336842289823867
0,301,3,301.3,2.4017771198288433,119.7561720953099,2430.980297198693,2433.9282541034704,87.17974645612271,1.0133863937703422
0,93,1,93.1,2.4017771198288433,1921.7976849475644,-1366.1227581214123,2357.8799231782505,-35.40737293250586,0.9817230348777237
0,93,2,93.2,2.4017771198288433,-2222.255940640366,-1069.6925693350295,2466.305670147554,-154.2959596574248,1.0268670018487431
0,93,3,93.3,2.4017771198288433,155.764161002683,2442.5916818056285,2447.5531859142343,86.35118679910437,1.0190592481323384
0,931,1,931.1,2.4017771198288433,1925.9465867782023,-1364.0692005098035,2360.0752189076647,-35.30838119942902,0.9826370646231527
0,931,2,931.2,2.4017771198288433,-2222.453893821108,-1074.1146625367353,2468.405075840878,-154.20546537551758,1.0277411069753144
0,931,3,931.3,2.4017771198288433,151.97870265634873,2444.949281424965,2449.66824586546,86.44305550223298,1.0199398710401695
