Hour,Generator,Bus,P_kW,Q_kVAR
0,mg1_gen1,22,-43.74900484273932,-23.616807381365597
0,mg1_gen2,24,-42.250406201569945,-22.805039786480403
0,mg1_gen3,28,-99.99973113667393,-53.97654492510818
0,mg1_gen4,301,-99.99973116475437,-53.97648896232196
0,mg2_gen1,72,-99.9997487433912,-53.977208792617645
0,mg2_gen2,75,-42.23410491628276,-22.796464301369575
0,mg2_gen3,76,-99.9997600544057,-53.97723332845669
0,mg2_gen4,771,-99.99977478478009,-53.97718979397654
0,mg2_gen5,86,-99.99977504817565,-53.97727768742834
0,mg2_gen6,931,-99.99979925754894,-53.97725997488743
0,gen401,401,0.0,0.0
0,gen1011,1011,0.0,0.0
1,mg1_gen1,22,-43.86324139690059,-23.675023584958687
1,mg1_gen2,24,-42.459863598111355,-22.91842041785031
1,mg1_gen3,28,-100.00016284144706,-53.97687966006246
1,mg1_gen4,301,-100.0001579882582,-53.97680968074715
1,mg2_gen1,72,-100.00032706239112,-53.97757009318588
1,mg2_gen2,75,-42.49254038661389,-22.936175456087863
1,mg2_gen3,76,-100.00033113979319,-53.9775758332911
1,mg2_gen4,771,-100.00033672176832,-53.977503538926584
1,mg2_gen5,86,-100.00033156008121,-53.97757810352602
1,mg2_gen6,931,-100.00034376253711,-53.97751371414104
1,gen401,401,0.0,0.0
1,gen1011,1011,0.0,0.0
2,mg1_gen1,22,-44.0047216595724,-23.75151325323445
2,mg1_gen2,24,-42.68351445188801,-23.039034061931556
2,mg1_gen3,28,-100.00006208969455,-53.976686832337805
2,mg1_gen4,301,-100.0000578606489,-53.9766200578904
2,mg2_gen1,72,-100.00019173012484,-53.97733028421678
2,mg2_gen2,75,-42.77578467277857,-23.08894399345818
2,mg2_gen3,76,-100.00019507919737,-53.97733493900684
2,mg2_gen4,771,-100.00020065352024,-53.97726563073575
2,mg2_gen5,86,-100.00019494462589,-53.97733636092626
2,mg2_gen6,931,-100.00020615784939,-53.977274450633516
2,gen401,401,0.0,0.0
2,gen1011,1011,0.0,0.0
3,mg1_gen1,22,-44.100465693257895,-23.803082317355035
3,mg1_gen2,24,-42.834774617108096,-23.120336096823632
3,mg1_gen3,28,-100.00000346280527,-53.97577622550028
3,mg1_gen4,301,-100.0000009766288,-53.97573417789084
3,mg2_gen1,72,-100.00007540662975,-53.97617505865341
3,mg2_gen2,75,-42.97000219172483,-23.193392692478948
3,mg2_gen3,76,-100.00007732211719,-53.9761776466989
3,mg2_gen4,771,-100.0000809387112,-53.976133795336196
3,mg2_gen5,86,-100.00007699109378,-53.976178043196555
3,mg2_gen6,931,-100.00008396565039,-53.976138686961235
3,gen401,401,0.0,0.0
3,gen1011,1011,0.0,0.0
4,mg1_gen1,22,-44.007253953550055,-23.752323146676332
4,mg1_gen2,24,-42.712383589406485,-23.053233782175358
4,mg1_gen3,28,-99.99999965500874,-53.97295184400997
4,mg1_gen4,301,-100.00000195255913,-53.97298915509411
4,mg2_gen1,72,-99.99993637936188,-53.97258710455918
4,mg2_gen2,75,-42.80732945629016,-23.104425999073044
4,mg2_gen3,76,-99.99993463866355,-53.97258465630806
4,mg2_gen4,771,-99.99993143810434,-53.97262348851986
4,mg2_gen5,86,-99.99993471776494,-53.9725836926858
4,mg2_gen6,931,-99.9999285602922,-53.97261818843819
4,gen401,401,0.0,0.0
4,gen1011,1011,0.0,0.0
5,mg1_gen1,22,-43.83498598751418,-23.659191924320172
5,mg1_gen2,24,-42.39279560186993,-22.879950674016268
5,mg1_gen3,28,-99.99914236431745,-53.97037569624503
5,mg1_gen4,301,-99.99915085380022,-53.97049116340614
5,mg2_gen1,72,-99.9987305457229,-53.969316201597934
5,mg2_gen2,75,-42.39240484976708,-22.879639277474638
5,mg2_gen3,76,-99.99872306514291,-53.96930488265551
5,mg2_gen4,771,-99.99871364444554,-53.969423116446194
5,mg2_gen5,86,-99.99872097790124,-53.96929733596903
5,mg2_gen6,931,-99.9986997989225,-53.969400134516775
5,gen401,401,0.0,0.0
5,gen1011,1011,0.0,0.0
6,mg1_gen1,22,-43.537578735399485,-23.499119698621982
6,mg1_gen2,24,-41.84218527206225,-22.583774794682675
6,mg1_gen3,28,-99.99978048000187,-53.973430018165374
6,mg1_gen4,301,-99.99978243320442,-53.973453277192974
