Hour,Converged,Base_Load_Scale,add44_Scale,add108_Scale,Generator_Scale,Storage_Scale,Total_Load_P_kW,Total_Load_Q_kVAR,Total_Generator_P_kW,Total_Storage_P_kW,Min_Voltage_pu,Max_Voltage_pu
0,True,0.7,0.58,0.54,0.0,-0.1,2778.6819664338136,1220.9690754122007,-828.231836150322,40.00037595066756,0.8743085020386087,1.185710514179954
1,True,0.66,0.57,0.57,0.0,-0.1,2708.9216134751928,1179.17403051631,-828.817636457902,40.0006103361665,0.8787248675726858,1.1887780718655425
2,True,0.63,0.56,0.56,0.0,-0.1,2622.492187734252,1137.8053828518287,-829.4651292999001,40.00053368090367,0.8830761162957685,1.1923034592626447
3,True,0.61,0.56,0.55,0.0,-0.08,2568.02488621663,1111.1040654600104,-829.9056415657271,32.000254922639115,0.8860438254189807,1.1947320321860195
4,True,0.62,0.56,0.59,0.0,-0.05,2629.3054038674586,1134.3281468506293,-829.5266343410016,19.999857908982587,0.8837582103897096,1.1925479734065947
5,True,0.68,0.54,0.59,0.0,0.0,2744.3126703528,1200.1694828738619,-828.612067689404,3.9998849350932275,0.8768282313398919,1.1875350246082617
6,True,0.78,0.53,0.56,0.0,0.0,2926.133046052094,1306.346611439685,-827.0715918614003,3.9999738427994584,0.8652052831756163,1.1791469063527649
7,True,0.88,0.53,0.55,0.0,0.0,3129.3401222458015,1416.8765366495122,-825.3422362703024,3.9999780102448286,0.8533388918088086,1.1698804797781412
8,True,0.95,0.54,0.54,0.0,0.05,3274.2220358969366,1494.0773219990567,-824.1605698879151,-19.999900200335656,0.8457601682379898,1.163764748452335
9,True,0.98,0.63,0.65,0.0,0.08,3518.8264831191723,1578.225273541958,-822.4501527290832,-31.999718306171964,0.8378123245457545,1.1548077510442836
10,True,1.0,0.76,0.83,0.0,0.1,3837.8276572886566,1677.4399630052774,-820.1825761002281,-39.99927350962711,0.8287083701308777,1.1429588912761173
11,True,1.03,0.56,0.59,0.0,0.1,3497.5956002794014,1597.2673676741367,-822.3399645282279,-40.00039629653732,0.835633040420913,1.1543034209269412
12,True,1.05,0.52,0.54,0.0,0.1,3454.391563618196,1595.108984840336,-822.5160336229484,-40.00016275899269,0.8356294184267361,1.1552872516485142
13,True,1.04,0.52,0.55,0.0,0.1,3444.0348325746695,1587.2414802511478,-822.6354539438414,-40.000221792880744,0.8364124413867766,1.1558530487796852
14,True,1.02,0.62,0.69,0.0,0.08,3622.8329108361804,1627.0841002783384,-821.5108416735201,-31.999788472906836,0.8327955872547795,1.149889307655069
15,True,1.0,0.59,0.68,0.0,0.05,3546.9688254152306,1595.8760281145996,-822.0763007992722,-20.000513074856876,0.8355588569979236,1.152681408244686
16,True,1.06,0.65,0.77,0.0,0.0,3794.3883818729373,1693.9286347058382,-819.9613111886791,3.9999519459495945,0.8256170488389869,1.1416550210872967
17,True,1.15,0.58,0.66,0.0,0.0,3799.56350437784,1738.5964608225984,-819.4714125244,3.999863924895759,0.8206018348289299,1.1391269066140013
18,True,1.2,0.61,0.66,0.0,0.0,3913.8377091580305,1793.473459101258,-818.4799219382995,3.9999762345905197,0.8150453303342884,1.133564108369853
19,True,1.16,0.57,0.61,0.0,0.05,3767.101027594751,1735.0794610818573,-819.7552481626,-20.00013655676524,0.8213592780916674,1.1407454583693881
20,True,1.08,0.54,0.54,0.0,0.08,3530.105301950452,1630.9875460931594,-821.8291955697141,-32.0003104533345,0.8320123561476757,1.151851482334696
21,True,0.96,0.52,0.56,0.0,0.1,3295.0054471354606,1505.19505955992,-824.0304987334765,-40.00036905598401,0.8447803622331724,1.1629692173228952
22,True,0.84,0.55,0.6,0.0,0.05,3112.333658717522,1391.5348627499297,-825.7208157834287,-20.00011683719505,0.8565097829174978,1.171790035181002
23,True,0.76,0.58,0.65,0.0,0.0,3016.5379800906094,1321.9919194000554,-826.608821762433,4.000136337595592,0.8637794609515765,1.176479314824311
