Hour,Storage,Bus,P_kW,Q_kVAR,State,puSOC
0,stor42,42,20.00017145012152,0.00041972839477762136,-1,0.5
0,stor105,105,20.000204500546037,0.0004908520223834785,-1,0.5
1,stor42,42,20.000276100875197,0.00043579274087971956,-1,0.5
1,stor105,105,20.000334235291305,0.0004986251540484545,-1,0.5
2,stor42,42,20.00024106468924,0.00041259805940745765,-1,0.5
2,stor105,105,20.000292616214434,0.00047274521389493887,-1,0.5
3,stor42,42,16.000115092458195,0.00020791528675954396,-1,0.5
3,stor105,105,16.000139830180917,0.00023797530208895525,-1,0.5
4,stor42,42,9.999936093743578,-0.00011589170881805444,-1,0.5
4,stor105,105,9.99992181523901,-0.00013369479128758145,-1,0.5
5,stor42,42,1.9999478775288533,-5.9324937343575354e-05,0,0.5
5,stor105,105,1.9999370575643742,-6.83689169828554e-05,0,0.5
6,stor42,42,1.9999881720760615,-1.2580801531619558e-05,0,0.5
6,stor105,105,1.999985670723397,-1.4471218397829943e-05,0,0.5
7,stor42,42,1.9999898967186887,-1.064722991113598e-05,0,0.5
7,stor105,105,1.99998811352614,-1.2023230348418679e-05,0,0.5
8,stor42,42,-9.999954126305457,3.8228790531320554e-05,1,0.5
8,stor105,105,-9.999946074030198,4.335691500529038e-05,1,0.5
9,stor42,42,-15.999871142263903,0.00010929984614824661,1,0.5
9,stor105,105,-15.99984716390806,0.000126646453740932,1,0.5
10,stor42,42,-19.999668691356625,0.00027149415219605545,1,0.5
10,stor105,105,-19.999604818270484,0.0003203134494261803,1,0.5
11,stor42,42,-20.000181101024733,-0.00014481923886933146,1,0.5
11,stor105,105,-20.000215195512585,-0.00016863077152072493,1,0.5
12,stor42,42,-20.00007433646979,-7.01567773431293e-05,1,0.5
12,stor105,105,-20.0000884225229,-8.28636912605134e-05,1,0.5
13,stor42,42,-20.000099882918207,-8.967606247995264e-05,1,0.5
13,stor105,105,-20.000121909962537,-0.00010740733106524658,1,0.5
14,stor42,42,-15.999903628522562,7.92414582945753e-05,1,0.5
14,stor105,105,-15.999884844384276,9.321909209540991e-05,1,0.5
15,stor42,42,-10.000231275380486,-0.00021032764494447064,1,0.5
15,stor105,105,-10.00028179947639,-0.0002527601983608747,1,0.5
16,stor42,42,1.9999780477861309,-2.1211890574349466e-05,0,0.5
16,stor105,105,1.9999738981634634,-2.518163483345859e-05,0,0.5
17,stor42,42,1.9999383911414714,-5.783506350927326e-05,0,0.5
17,stor105,105,1.9999255337542876,-6.917447589154336e-05,0,0.5
18,stor42,42,1.9999892796621799,-9.13887036136174e-06,0,0.5
18,stor105,105,1.9999869549283398,-1.133866292597929e-05,0,0.5
19,stor42,42,-10.000061899970731,-4.1246071216846755e-05,1,0.5
19,stor105,105,-10.00007465679451,-5.0977229345448906e-05,1,0.5
20,stor42,42,-16.000142058196435,-0.00010798240854700226,1,0.5
20,stor105,105,-16.000168395138065,-0.00012560568678861728,1,0.5
21,stor42,42,-20.000168408813483,-0.0001392147436333744,1,0.5
21,stor105,105,-20.000200647170523,-0.00016078118227210326,1,0.5
22,stor42,42,-10.000053667835111,-4.6315551477647436e-05,1,0.5
22,stor105,105,-10.00006316935994,-5.260659008746415e-05,1,0.5
23,stor42,42,2.0000619880926345,6.730136289586852e-05,0,0.5
23,stor105,105,2.000074349502957,7.726487141612638e-05,0,0.5
